,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
102851,0.756,1990,0.00183,['Above The Law'],0.699,253293,0.926,0,0tVSehz9YkXjtlMjtmQwLz,6.68E-06,1,0.0522,-8.925,1,Murder Rap,30,1990-03-27,0.0968,97.842
88726,0.381,2002,0.121,['Queens of the Stone Age'],0.521,364925,0.686,0,1dVWz4VM5QkgzHLjFEKM4u,0.474,1,0.577,-5.532,0,God Is In The Radio,42,2002,0.046,116.119
159043,0.412,1962,0.347,['Nelson Riddle'],0.439,133640,0.414,0,4vGflWUDqrwGsmFvr0Fvii,0.09,4,0.19,-13.81,0,Naked City Theme,9,1962-01-01,0.0315,90.25
128700,0.607,1959,0.941,['Henry Mancini'],0.628,198200,0.31,0,7sYh1rJ9c4ZuGvPUvf0Rw0,0.866,5,0.112,-16.637,1,The Floater,10,1959,0.033,139.97
157659,0.273,1955,0.894,['Lawrence Brown'],0.395,277667,0.211,0,6EmqdAwA3FkepEoz1DQYr2,0.385,0,0.177,-15.121,1,Autumn in New York,2,1955-01-01,0.0337,87.384
63061,0.906,1960,0.569,['Neil Sedaka'],0.598,163960,0.71,0,2xWYWJV1WLfrFe5uSr3Jcv,0,5,0.268,-6.028,1,Little Devil,28,1960-12-30,0.0308,76.976
125875,0.717,1945,0.994,['Nilima Banerjee'],0.579,199974,0.0291,0,4Lzc1t2cu3Fx5Y3Vsp5KbW,0.535,10,0.119,-15.318,1,Jo Bhi Jhaunka Hawa Ka Aata Hai,0,1945-12-31,0.187,73.65
112249,0.354,1957,0.741,['Sonny Rollins'],0.547,316053,0.0873,0,69qn9lq7s1V54v87NUCFQM,0.401,7,0.0884,-20.051,0,There Is No Greater Love,14,1957,0.0613,83.749
89388,0.955,2006,0.652,"['Jorge Celedón', 'Jimmy Zambrano']",0.598,237800,0.838,0,367Cb3sFU9yiHJ9T3vciHk,0,11,0.0722,-2.622,1,Esta Vida,59,2006-08-23,0.0527,172.178
106287,0.531,2008,0.00964,['One Day As A Lion'],0.408,227760,0.895,0,2ww4JXJolWV7DmC5PFfZyu,0,1,0.51,-6.027,1,Wild International,49,2008-07-22,0.196,171.695
51507,0.512,1991,3.33E-05,['Nirvana'],0.436,255080,0.876,0,55n69wdvbtg1VmQ9rci2WE,0.000104,10,0.205,-4.902,0,In Bloom - Nevermind Version,40,1991-09-26,0.0647,157.044
122331,0.562,2008,0.00053,['Rise Against'],0.377,199000,0.974,0,11vEmUTnR1RbTBJiBJbs2j,2.70E-06,6,0.0776,-2.877,0,Collapse (Post-Amerika),51,2008-01-01,0.0966,157.489
158384,0.478,1959,0.943,['Junior Mance'],0.688,260147,0.223,0,0iHpbuXtRevFTMBEBX9Sdd,0.883,0,0.0859,-18.266,0,Whisper Not,12,1959-01-01,0.0493,126.068
1672,0.0693,1930,0.989,"['Franz Liszt', 'Vladimir Horowitz']",0.343,197373,0.193,0,6qX1FbGukJCVitsb6dxSm3,0.793,3,0.969,-26.707,0,"Valse oubliées, S. 215: No. 1 in F-Sharp Major - Live",9,1930,0.0669,90.002
98028,0.965,1966,0.0658,['The Seeds'],0.593,173871,0.465,0,2NcbZVlmgq9g89Vz10bBRB,0,9,0.167,-12.701,0,Try To Understand,27,1966,0.033,137.217
22684,0.921,1939,0.986,"['Francisco Canaro', 'Ernesto Fama']",0.742,164573,0.402,0,143xj2DVa95TaL2mPDQAaB,0.311,3,0.313,-7.133,1,Mariana - Remasterizado,0,1939-01-28,0.0437,136.279
66087,0.172,1975,0.46,['Elton John'],0.516,252640,0.157,0,2DDpuUJC2YAFGCDC0UbKct,4.63E-05,7,0.325,-15.51,0,We All Fall In Love Sometimes,39,1975-05-19,0.0325,127.71
47719,0.431,1972,0.459,['B.B. King'],0.449,249733,0.235,0,3FHvrCsqBjvwut2rXT1QPZ,0.00153,8,0.0892,-18.85,1,Guess Who,44,1972-01-01,0.042,101.45
121902,0.794,2005,0.799,"['Wayne Wilcox', 'Adam Pascal', 'Aaron Lohr', 'Cast Of The Motion Picture Rent']",0.459,56760,0.398,0,6LGHFOlbh34HKEyHtB0H6I,0,5,0.383,-8.141,1,Life Support,44,2005-09-27,0.0289,144.644
54777,0.79,2007,0.0361,"['Mike Jones', 'Paul Wall', 'Slim Thug']",0.86,271053,0.861,1,1jqARIDOovT45LDzxAQ6RA,4.07E-05,6,0.113,-7.131,0,Still Tippin' (feat. Slim Thug and Paul Wall),50,2007,0.307,143.184
86281,0.18,1990,0.0646,['Social Distortion'],0.284,255267,0.971,0,2a7eKsOLLNQ3nu0WOQ3hIH,0.0236,6,0.269,-8.261,1,Let It Be Me,36,1990-03-27,0.0862,187.464
84067,0.849,1978,0.598,"['Willie Colón', 'Rubén Blades']",0.525,331440,0.621,0,5MyPzq1IsxS1x7FkhdpJUF,1.26E-06,5,0.0889,-7.512,0,María Lionza,37,1978-01-01,0.0456,86.3
164964,0.302,1992,0.000386,['Cannibal Corpse'],0.266,245773,0.986,0,5ycOd8aYjGCIrDfLNKqmKW,0.747,8,0.43,-8.346,0,Necropedophile,35,1992,0.166,86.179
154185,0.473,2013,0.0508,['BTS'],0.693,86045,0.392,0,5kD6DnMehM1XD8dvS83Xzu,0,5,0.144,-6.615,1,Outro: Luv in Skool,54,2013-09-11,0.0439,131.863
3102,0.451,1937,0.981,['Billie Holiday'],0.564,166707,0.0837,0,0t1SES7CllsK4VwgrEKJSk,0,2,0.248,-14.093,1,I Can't Get Started - Take 1,4,1937,0.043,97.535
153531,0.366,2010,0.194,['Linkin Park'],0.543,279453,0.923,1,0uIDQUwQmUltzyozMSezwQ,0.00446,9,0.43,-3.992,1,Blackout,43,2010-09-08,0.0768,134.997
132427,0.556,1978,0.113,['Tom Petty and the Heartbreakers'],0.63,183400,0.764,0,593xhVoYglsZ7QIvGGdq60,0,6,0.0487,-5.583,0,Magnolia,25,1978-05-02,0.0299,125.152
24443,0.225,1949,0.87,"['Giovanni Capurro', 'Edoardo Di Capua', 'Mario Lanza', 'Ray Sinatra']",0.144,260467,0.487,0,3t9uPrI0elXBDYsr19ozGo,0.0655,2,0.124,-7.21,1,O sole mio,7,1949,0.0352,91.567
118894,0.374,1990,0.0488,['Cocteau Twins'],0.481,190213,0.694,0,2vDC9iyQpY3EsioJD8pRiW,0.0738,0,0.111,-7.38,0,Fifty-fifty Clown,35,1990,0.0272,180.117
45424,0.86,1961,0.882,['Henry Mancini'],0.66,178399,0.386,0,26aTWLdrak6yeM6mgw82Nj,0.79,9,0.0961,-15.904,0,Lain Golightly,28,1961,0.0335,132.029
30655,0.893,1980,0.379,['Camilo Sesto'],0.571,166626,0.724,0,3p0JLiO2eCaGurE0pG2tJZ,3.69E-05,2,0.14,-5.055,0,Melina,42,1980-01-04,0.0283,134.837
115434,0.37,1973,0.778,['Larry T. Marshall'],0.546,291667,0.622,0,3cR7U1X3jcKaws71L3gZbc,0.303,3,0.123,-10.727,1,"Simon Zealotes - From ""Jesus Christ Superstar"" Soundtrack",34,1973-01-01,0.0923,117.814
62356,0.388,1956,0.647,['Sonny Stitt'],0.446,310747,0.395,0,00ekEde0OgVWCkfWYdKQXO,0.0154,3,0.225,-9.228,1,Down Home Blues,16,1956-01-01,0.0509,78.335
77968,0.688,1948,0.698,['Т??мен ?апо?е'],0.64,105500,0.216,1,2WtLTSKiUphNt846ZHd4TH,0,6,0.208,-16.417,1,"Ча??? 21.9 - ???гие голо?а, д??гие комна??",0,1948,0.955,165.435
132998,0.0394,1981,0.957,"['Pat Metheny', 'Lyle Mays']",0.235,161507,0.0603,0,4PiDj9SPlY1u70anx9J5Jy,0.0667,10,0.16,-23.304,1,Estupenda Graca,30,1981-04-27,0.0386,113.063
91161,0.746,2014,0.00365,['Maroon 5'],0.693,194773,0.727,1,2dyyOwe0KxTZTJjjXDeLmU,0,10,0.0576,-5.364,0,Feelings,59,2014-09-02,0.0749,121.937
116789,0.945,1979,0.0184,['Joe Jackson'],0.636,157093,0.94,0,4zYyMtUvusvCr9NRcM3u3i,0.000182,7,0.052,-5.158,1,Baby Stick Around,27,1979-01-05,0.0329,108.491
109161,0.822,1930,0.954,['Ignacio Corsini'],0.574,119573,0.317,0,4O3rsvW9b7x60k2yY48SGI,0,1,0.345,-16.203,0,No Tengas Miedo - Remasterizado,0,1930-06-21,0.215,140.874
63004,0.393,1959,0.0678,['Ricky Nelson'],0.484,118733,0.229,0,6f1qJHjiJKv8E2ZNu47vuV,2.10E-06,0,0.0923,-13.027,1,It's All In The Game - Remastered,20,1959-01-01,0.0306,120.423
97502,0.53,1964,0.907,['101 Strings Orchestra'],0.223,176640,0.374,0,53qlcGcGmgZv3PvGDKau3U,0.959,3,0.12,-12.469,1,"Theme from a Summer Place - From ""A Summer Place""",21,1964-01-01,0.0351,67.508
105577,0.741,2004,0.803,['Kanye West'],0.64,53640,0.279,1,4BhwlQ9mTwhFGXpQvP9JTV,0,10,0.375,-12.396,1,Lil Jimmy Skit,45,2004-02-10,0.484,82.475
157290,0.399,1953,0.833,"['Gerry Mulligan', 'Chet Baker']",0.714,217493,0.0649,0,2NY65AFioFLByWkanfY3c1,0.495,5,0.0879,-17.558,0,"I'm Beginning To See The Light - 10"" Take",2,1953-01-01,0.0863,121.953
141274,0.957,1942,0.981,['Henry Blair'],0.6,53862,0.551,0,03aJiJq9xzwNoFHmGW0y3J,3.37E-05,4,0.542,-5.867,1,Keep Your Eyes Upon Me (Version Henry Blair),0,1942-10-23,0.385,204.126
56200,0.385,2014,0.0353,['Run The Jewels'],0.701,152253,0.525,1,5jQYkYhoOlBW4vJ2l4TCxl,2.55E-06,1,0.0615,-7.938,0,"Blockbuster Night, Pt. 1",58,2014-10-24,0.382,75.693
69140,0.344,1990,0.37,['Basic Black'],0.687,376426,0.339,0,456qQg4LeA7ucADL5U1NV8,3.88E-06,0,0.307,-11.935,0,Special Kind of Fool,36,1990,0.0381,119.822
36980,0.225,2012,0.0607,['One Direction'],0.498,229107,0.715,0,0UAB340gAcSMk3r0a8PTag,0,0,0.274,-4.446,1,More Than This,69,2012-05-25,0.0315,151.809
71125,0.343,2000,0.034,['Limp Bizkit'],0.576,343360,0.78,0,1qjuoKVHOMpGfHMzLpdGL7,0.00341,11,0.07,-5.041,0,The One,53,2000-10-17,0.109,98.259
16601,0.357,2004,0.000371,['Rise Against'],0.582,170893,0.942,0,6TTBhxnb9NYT7cz6aLOkBy,0.004,2,0.078,-3.098,1,Give It All,56,2004-01-01,0.0637,103.057
24602,0.108,1949,0.946,"['Erik Satie', 'Philippe Entremont', 'Royal Philharmonic Orchestra']",0.232,71587,0.027,0,7E97pb0XRDtcjX4xw2bBt0,0.553,0,0.106,-19.396,1,Parade: Choral,9,1949,0.0445,144.671
154415,0.795,2014,0.201,['Starbomb'],0.573,157112,0.867,1,1TulMHJg9PrNqU6zwfqCBT,0,10,0.267,-4.732,1,Smash!,50,2014-12-16,0.15,149.93
79300,0.0668,1954,0.949,"['Giacomo Puccini', 'Maria Callas', 'Philharmonia Orchestra', 'Tullio Serafin']",0.28,222533,0.188,0,7F9mV9YAlcXOZIz4Hpm7qT,0.000701,11,0.124,-12.006,0,"Puccini: Madama Butterfly, Act 2: ""Con onor muore"" (Madama Butterfly)",11,1954,0.0405,90.864
22719,0,1939,0.56,['MGM Studio Orchestra'],0.414,18227,0.225,0,1VZMQ3HPIFaj2T4bUyYvcV,0.503,8,0.281,-15.122,1,End Title (The Wizard of Oz) - Alternate,0,1939-08-25,0.0355,85.7
97715,0.856,1965,0.511,['Sonny Boy Williamson II'],0.595,168467,0.676,0,2itCQlm9s7yW21eZoF4eyH,0,2,0.0923,-6.145,1,One Way Out - Mono Version,26,1965-04-09,0.0462,112.674
122140,0.575,2006,0.0235,['E-40'],0.6,228013,0.671,1,6JFdyoLzHdGibgutS7LrBb,0,11,0.0826,-8.971,1,Yay Area,41,2006-03-14,0.406,93.704
30622,0.972,1980,0.142,['Bob Seger'],0.552,171920,0.985,0,6BUuoR1kG1rRag718ibuOn,0.126,5,0.293,-3.081,1,Betty Lou's Gettin' Out Tonight,42,1980-02-25,0.0506,170.199
161614,0.265,1975,0.622,['Funkadelic'],0.332,348560,0.461,0,67gbkJgUsbCGlzxbIhenxu,0,7,0.252,-9.02,0,Baby I Owe You Something Good,23,1975-04-21,0.0374,129.534
64789,0.457,1968,0.312,['Astrud Gilberto'],0.556,170120,0.202,0,518t7qPouApKn0gES7AmlD,0.0215,8,0.11,-18.986,1,Never My Love,35,1968-01-01,0.0265,97.973
151224,0.716,1998,0.0235,['Duran Duran'],0.563,284187,0.869,0,0cfDBdKa6tlz4RWmfoRZE0,1.14E-05,9,0.2,-8.163,1,Rio - US Edit,33,1998,0.052,140.587
121362,0.515,2002,0.0421,['Maroon 5'],0.625,179773,0.925,0,6MvQ6mhfqeoxfhTydwYRRI,0,0,0.865,-4.435,1,Shiver,48,2002,0.342,172.017
24613,0.801,1949,0.834,"['Cole Porter', 'Alfred Drake', 'Kiss Me, Kate Ensemble', 'Pembroke Davenport', 'Original Broadway Cast Orchestra']",0.69,129840,0.369,0,12kyvbbCMEmjlrdCaYjJpM,0,10,0.406,-13.898,1,"Kiss Me, Kate: I've Come to Wive It Wealthily in Padua",5,1949,0.378,112.395
101088,0.97,1982,0.22,['War'],0.874,249973,0.777,0,4HEMl9UTIn49RNzfQ8clqw,0.143,0,0.0588,-8.87,1,Cinco De Mayo,27,1982,0.0427,132.79
43838,0.578,1953,0.924,['Clifford Brown'],0.498,239796,0.321,0,4yiPemRklGMBHthugEgBq7,0.4,0,0.112,-12.195,1,Wail Bait,3,1953-01-01,0.0436,80.277
92223,0.544,2020,0.283,['KAROL G'],0.784,162067,0.637,0,7p9xntKEdqqiIDapHI2F35,0,0,0.153,-7.386,0,Muñeco De Lego,0,2020-11-20,0.147,143.977
94871,0.472,1951,0.792,['Rudyard Kipling'],0.747,131400,0.199,0,101vizbU0Kl4C0uLioOHBH,0,7,0.511,-22.709,1,Kapitel 9 - Dschungelbuch,0,1951-06-02,0.959,81.348
28705,0.641,1970,0.284,"['The Band', 'Todd Rundgren']",0.602,223693,0.634,0,7uYK13jsmGi8flq2bF6r90,0.000301,0,0.105,-8.954,1,Stage Fright - Remastered 2000,40,1970-08-17,0.0336,113.544
23134,0.915,1942,0.175,['Mina'],0.56,113319,0.46,0,0TtJWJeCyFB0UjMuWPCcpA,0,6,0.131,-8.102,0,Non voglio cioccolata,0,1942-11-13,0.0411,79.448
97960,0.821,1966,0.795,['Gordon Lightfoot'],0.668,167200,0.48,0,4ZEA9Hq31QPWgCbbQgJHuI,0,2,0.34,-9.188,1,Rich Man's Spiritual,22,1966-01-01,0.028,132.472
22985,0.845,1941,0.926,['Baby Leela Rao'],0.497,200891,0.36,0,1XDpxdoQe7OI7hwmqGLURC,0.0173,9,0.714,-10.19,1,Nanadia Ban Jaoongi,0,1941-12-31,0.0609,87.138
40502,0.518,1936,0.613,['H.P. Lovecraft'],0.716,131700,0.371,0,13TSQPMoxOuoOw1ErnahpQ,0,9,0.126,-23.601,0,Capítulo 12.4 - la Sombra Fuera del Tiempo,0,1936,0.905,126.528
60020,0.603,1944,0.991,"['Enrique Granados', 'Andrés Segovia']",0.301,238493,0.125,0,4Ug7a2NPuJcvZu0mlLJCO6,0.916,6,0.102,-24.128,1,Dance No.10,0,1944-01-01,0.0474,78.081
1523,0.774,1929,0.991,['Francisco Canaro'],0.688,186000,0.182,0,0qppesKLoIWziqnxgJOiul,0.828,7,0.117,-12.841,0,Abuelita - Instrumental (Remasterizado),0,1929-11-05,0.0537,115.053
17962,0.339,2011,0.907,['Tyler Childers'],0.565,201333,0.308,0,3Fq4shhJdENQhwlLk9qoDx,7.76E-05,3,0.0975,-12.843,1,Coal,62,2011-10-11,0.0299,91.996
69010,0.96,1989,0.375,['Luis Enrique'],0.595,267693,0.581,0,31fgUJf2VBazZPGseEdsbZ,7.75E-06,5,0.0751,-10.574,0,Tù No Le Amas Le Temes,45,1989,0.0447,87.906
70953,0.213,1999,0.189,['Savage Garden'],0.581,281467,0.607,0,60g4sp8i3gXSb1EkphMl1g,1.60E-06,4,0.0882,-8.458,1,Crash and Burn,55,1999-11-09,0.028,102.03
108687,0.42,2020,0.0294,['Lady Gaga'],0.789,172133,0.813,0,6qI0MU175Dk2DeoUjlrOpy,2.07E-06,5,0.519,-4.563,1,911,78,2020-05-29,0.0374,116.007
88075,0.557,1999,0.0481,['Smog'],0.716,416600,0.436,0,03xxxRzdC0EAnsxuKCLYoS,0.548,7,0.155,-11.648,1,Hit The Ground Running,43,1999-12-01,0.0571,99.168
118648,0.365,1989,0.381,['Clint Black'],0.544,168267,0.375,0,2ZcWTm556V1ELaChrvEkJX,1.79E-06,2,0.188,-8.967,1,Walkin' Away,29,1989-05-04,0.0262,143.842
45892,0.0797,1963,0.982,"['Fritz Kreisler', 'Isaac Stern', 'János Rolla', 'Franz Liszt Chamber Orchestra']",0.283,236080,0.0811,0,2KGzzTDGv5cRSs8tmfzPLB,0.771,11,0.0897,-20.653,1,Caprice viennois,31,1963,0.047,88.961
111694,0.796,1954,0.766,"['Irving Berlin', 'Ethel Merman', 'Mitzi Gaynor']",0.546,281427,0.454,0,5jpsk31zL3eld0Je11YvxJ,7.46E-06,1,0.534,-9.62,1,A Sailor's Not A Sailor ('Til A Sailor's Been Tatooed),4,1954,0.155,135.913
60321,0.559,1946,0.989,['Parul Ghosh'],0.411,243596,0.317,0,2ZWUWWRo61lI5rDQSyLFCs,0.192,6,0.74,-9.021,1,Kabhi To Jago He Sonewalo,0,1946-12-31,0.0449,99.303
159632,0.878,1965,0.637,['Tom Jones'],0.44,131400,0.718,0,6QEggYCQXG93TOFucLO8hV,2.27E-06,0,0.175,-9.272,1,Once Upon A Time,22,1965-05-01,0.0622,85.491
40743,0.401,1937,0.987,"['Francisco Canaro', 'Roberto Maida']",0.324,201693,0.328,0,6nfekAAaahqXmJggSp2FT3,0.823,5,0.131,-9.544,0,Mi Corazón - Remasterizado,0,1937-01-18,0.0469,74.146
5195,0.411,1947,0.991,['TIN TAN Y MARCELO'],0.402,201160,0.101,0,3Jbg4JVWDFhwJPF5vi80nz,0.000611,11,0.113,-16.107,1,Paloma Mensajera,7,1947,0.041,109.924
8390,0.124,1963,0.983,['John Coltrane'],0.329,249453,0.0556,0,2JQqfVJhFnNADUJDDPmw63,0.176,8,0.145,-18.713,1,After The Rain,41,1963-07-01,0.0363,124.905
98411,0.773,1968,0.226,['Fleetwood Mac'],0.597,233133,0.369,0,3KhkD5lrJIYC3DsLKYuvnE,1.32E-06,7,0.145,-8.566,1,If You Be My Baby,21,1968-08-23,0.0298,72.858
57794,0.73,1928,0.986,['Ted Weems & His Orchestra'],0.719,191560,0.334,0,4IoPkTkoO6UiJOMJpuDon0,0.186,7,0.218,-12.093,1,"Roam On, My Little Gypsy Sweetheart",0,1928-07-01,0.0334,105.083
140101,0.386,2017,0.869,"['Steven Universe', 'Deedee Magno Hall']",0.643,138006,0.199,0,2eqzI3kGqPk93vz8RkASfA,0,0,0.106,-12.19,1,It's Over Isn't It (feat. Deedee Magno Hall),60,2017-06-02,0.0581,46.572
133010,0.17,1981,0.249,['Air Supply'],0.328,322427,0.516,0,2aQ9yUp14YVKsOKuCDnBJn,0.00208,2,0.486,-7.845,0,Sweet Dreams,34,1981,0.0303,128.557
69582,0.763,1992,0.0411,['Kris Kross'],0.865,248333,0.778,0,4Gv46S98aguDKuKTrbRBus,0,1,0.303,-10.05,1,Warm It Up,44,1992-03-17,0.249,103.008
95086,0.587,1952,0.848,['Mamlê'],0.328,582699,0.496,0,0ufbjbryC6W20vPpRX0XVY,2.63E-05,5,0.442,-10.706,1,Fewziye,2,1952-12-04,0.0608,102.163
107247,0.218,2012,0.831,['alt-J'],0.685,249427,0.535,0,306zYyz3PFvBgLFGOCy9Xb,0.404,6,0.0896,-8.908,0,Bloodflood,48,2012-09-18,0.0363,130.023
42307,0.0399,1945,0.988,"['Ludwig van Beethoven', 'William Kapell', 'Vladimir Golschmann']",0.295,523160,0.0678,0,0tjf8QtZHLg3zZAct7ttVp,0.897,3,0.146,-23.372,1,"Piano Concerto No. 2 in B-Flat Major, Op. 19: II. Largo",0,1945,0.0407,123.585
12087,0.457,1982,0.0468,['Rush'],0.513,334000,0.841,0,0Z0s6dw0zw2ENU1gVjlLV6,0.0425,11,0.12,-9.272,0,Subdivisions,55,1982-09-09,0.0364,133.266
129379,0.459,1963,0.837,['Elvis Presley'],0.724,94853,0.116,0,2lAi4gevWJz7YlhUuRz9qp,6.54E-05,4,0.0916,-19.675,0,Cotton Candy Land,19,1963-03-15,0.114,111.186
145061,0.705,1967,0.124,['The Beatles'],0.769,165053,0.488,0,486fJnwIZMzMLLd2fYqlLU,0.00063,0,0.0715,-7.582,1,Getting Better - Take 12,23,1967-05-26,0.0438,122.268
170477,0.804,2020,0.562,"['Headie One', 'Drake']",0.68,248937,0.826,1,4OENnoidV0h8gJV6bhrw7r,0,5,0.254,-2.561,1,Only You Freestyle,75,2020-07-20,0.27,146.95
160648,0.473,1970,0.152,['Mountain'],0.31,218133,0.618,0,6qF1dT7Py1gpXVT8KUmYsZ,0.0151,0,0.18,-8.503,0,Boys In the Band,22,1970,0.0279,173.57
90087,0.328,2009,0.0465,['Daughtry'],0.43,240213,0.703,0,21RRhjnMsrvQpeQ10ptSBZ,0,10,0.0809,-5.52,1,September,50,2009-07-14,0.0342,149.873
132783,0.715,1980,1.60E-05,['Wipers'],0.446,119400,0.892,0,5Au77CKyZnl3WnopMx6QdM,0.57,9,0.374,-6.035,1,Tragedy,27,1980-02-15,0.0315,89.545
52818,0.54,1998,0.00277,['Korn'],0.697,232600,0.808,0,72ZarLfZuVXLa2VN1jzAWk,0.00258,1,0.0509,-6.803,0,Children of the Korn,51,1998-08-18,0.203,95.841
49728,0.754,1982,0.00242,['Descendents'],0.433,98267,0.698,0,1HhJodOwR85impMgF6eCql,0,0,0.145,-8.551,1,Parents,38,1982,0.044,121.697
97856,0.68,1965,0.786,['Ray Conniff'],0.585,162267,0.578,0,2bLyGuOy065rcxj6rJH6nQ,0,2,0.119,-10.837,0,"God Rest Ye Merry, Gentleman",27,1965-11-03,0.0307,147.996
59194,0.424,1940,0.908,"['Igor Stravinsky', 'New York Philharmonic', 'Columbia Symphony Orchestra']",0.405,107773,0.462,0,18uxOWypvDhO6XJKcoAnAT,0.944,5,0.156,-15.8,1,The Rite of Spring: Games of the Rival Tribes,1,1940,0.0827,167.785
36252,0.504,2008,0.0136,['Foreigner'],0.499,232333,0.802,0,36xEjbl8DtevPJgw6i9IuY,1.56E-06,7,0.128,-4.537,1,Feels like the First Time - 2008 Remaster,53,2008,0.0547,107.705
161187,0.281,1973,0.963,['Wings'],0.705,113160,0.16,0,4MzH62XWSlNMwp8XcnUD2K,0.00129,10,0.1,-16.707,1,Single Pigeon - 2018 Remaster,27,1973-04-30,0.0375,108.125
42713,0.761,1947,0.994,['Hameeda Bano'],0.718,174297,0.247,0,1eKZDqEqfOidIE6QTkEL57,7.62E-05,11,0.105,-7.857,0,Gaadi Dheere Dheere Hank,0,1947-12-31,0.433,125.785
99308,0.0951,1973,0.433,['Rick Wakeman'],0.351,229147,0.307,0,3bFue3Ib0IsxhkvM7BsIiS,0.85,3,0.328,-12.071,1,Catherine Of Aragon,40,1973-01-23,0.0336,105.092
24560,0.177,1949,0.869,"['Richard Rodgers', 'Andre Kostelanetz', 'The Philadelphia Orchestra Pops']",0.16,588507,0.191,0,1DmhlHKyeY1gp4W8S2cAwX,0.839,4,0.133,-14.891,0,South Pacific (Symphonic Scenario for Concert Orchestra) (Bonus Track),6,1949,0.0362,81.581
124418,0.711,2018,0.804,['Bankrol Hayden'],0.784,116715,0.391,1,294r8rdOqr0Nv1vuV5u8Qv,0,3,0.18,-10.628,1,29,61,2018-05-18,0.215,90.789
105149,0.341,2002,2.16E-05,['Mudvayne'],0.435,243933,0.984,0,15TzkwxGNvM3RGib0YkH4T,0.0968,8,0.0668,-4.998,1,Not Falling,41,2002,0.143,129.9
41598,0.0381,1941,0.956,"['Claude Debussy', 'Pierre Monteux']",0.136,390147,0.202,0,4YCYV7k6RTUekm1BnA5Pka,0.745,10,0.117,-16.292,0,"Images pour orchestre, L. 122: No. 1 - Gigues",0,1941,0.0434,79.543
146022,0.338,1972,0.717,['Stevie Wonder'],0.591,283533,0.271,0,4AFDhL7zKyEAzfJcg1r0my,2.42E-06,0,0.0935,-15.777,1,Lookin' For Another Pure Love,20,1972-10-28,0.0287,111.498
170623,0.605,2020,0.0242,"['Alesso', 'Charlotte Lawrence']",0.639,206308,0.711,0,4w7vZjpsnpKizj7NE0Nuld,0,0,0.142,-4.244,1,THE END,70,2020-10-30,0.0315,102.95
68487,0.803,1987,0.321,"[""Alexander O'Neal"", 'Cherrelle']",0.75,309400,0.59,0,7DVTNkZRGqvFcKryWCuTZP,0,5,0.115,-11.799,1,Never Knew Love Like This,41,1987-07-29,0.0346,104.101
134866,0.237,1990,0.903,['Sammy Davis Jr.'],0.502,144133,0.0464,0,3izG6ro2ORtG1SYKI2TloD,2.48E-05,7,0.143,-17.941,1,Azure - Remastered,33,1990-01-01,0.0366,77.907
1008,0.964,1927,0.991,['Bix Beiderbecke'],0.779,192773,0.452,0,5H4bQ14RjOVM4eKtaIpn3B,0.818,5,0.0828,-10.351,1,Clarinet Marmalade,35,1927,0.0504,125.229
11790,0.361,1980,0.3,['Air Supply'],0.39,209600,0.312,0,6OxnToSgslbtjJuNSKSdDQ,0,9,0.134,-16.918,1,Every Woman in the World,53,1980-02-25,0.0366,156.334
29590,0.669,1975,0.201,['Ohio Players'],0.532,372733,0.582,0,49laJW6ENyr70qdlLNh3tr,0.0139,1,0.087,-12.297,0,Sweet Sticky Thing,42,1975-08-16,0.0631,90.82
13762,0.85,1990,0.245,['Tony! Toni! Toné!'],0.742,304240,0.359,0,0r4wz91MaRPgI3UtEuU7DF,1.25E-06,10,0.0797,-14.098,1,It Never Rains (In Southern California),49,1990-01-01,0.0423,79.862
126736,0.0475,1949,0.952,"['Giacomo Puccini', 'Dorothy Kirsten', 'Fausto Cleva']",0.25,296080,0.246,0,34qvFaQPHuAsnsRI58SPMB,0.00107,1,0.0864,-11.406,1,"Manon Lescaut, Act IV:""Sola, perduta, abbandonata""",0,1949,0.0363,98.347
1067,0.105,1927,0.99,"['Paul Mania', 'Heinrich Schlusnus', 'Johann Heidenreich']",0.47,227182,0.0962,0,0U9ewWE1LW2t9e73F6JUda,0,0,0.305,-16.141,0,Im Rolandsbogen,0,1927-01-01,0.142,77.625
20937,0.905,1931,0.96,['Joséphine Baker'],0.578,178360,0.319,0,1QUJnxoFmsdZ3vJ2pEY15Z,2.08E-05,9,0.079,-12.772,1,Voulez Vous De La Canne ? Sucre,0,1931,0.228,80.298
70971,0.968,1999,0.36,['Tiberio Y Sus Gatos Negros'],0.819,224573,0.592,0,4rRX8M117ii4lulb7Iw379,0,5,0.102,-6.299,0,Lagrimas de Escarcha,51,1999-11-01,0.0474,119.971
117693,0.502,1984,0.699,['Joan Manuel Serrat'],0.545,196200,0.681,0,5HmYuJIqLEXOa9i4YQJWoQ,0,7,0.985,-5.754,1,Cantares - En Directo,47,1984,0.152,121.855
135533,0.965,1993,0.436,['Joan Sebastian'],0.793,142097,0.58,0,3UIkJ8TmeCNCnPKdEliTkv,0,10,0.0403,-6.301,1,El Chachalaco,37,1993-10-04,0.058,104.356
